"ที่","วันที่","ชื่อกิจกรรม","ฝ่าย","รหัสโครงการ","ผลผลิต_คน","ผลผลิต_หน่วยงาน","รายได้(บาท)","มูลค่าทางสังคม(บาท)","ประเภท","ผู้รับผิดชอบ","KPI_สำนัก","หมายเหตุ"," สิทธิ์สมนาคุณ 
(สำหรับหลักสูตรฝึกอบรม)","จำนวนคน","มูลค่า (บาท)","","","","","","","","","","","",""
"46","11/02/2569-12/02/2569","หลักสูตร การบริหารจัดการข้อมูลเชิงพื้นที่ด้วย Portal รุ่นที่ 4 (กรมพัฒนาที่ดิน)","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","30","1","19,200.00","486,000.00","ฝึกอบรม หลักสูตรเฉพาะกลุ่ม","น.ส.มยุรา ทุ่มแก้ว (ปูเป้)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","","","","","","","","","","","","","","","",""
"47","9/02/2569-13/02/2569","หลักสูตร ระบบสารสนเทศภูมิศาสตร์สำหรับผู้เริ่มต้นใช้งาน","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","62","42","510,000.00","1,004,400.00","ฝึกอบรมหลักสูตรประจำปี","น.ส.เพชรจรัส  เตชเกรียงไกรกุล (หยก)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","สสพ.ที่ 397/2568 ลว. 4 ธันวาคม 2568 จำนวน 1 คน เป็นเงิน 10,000 บาท (สปก.)
สสพ.ที่ 403/2568 ลว. 4 ธันวาคม 2568 จำนวน 2 คน เป็นเงิน 20,000 บาท (กรมป่าไม้)
สสพ.ที่ 517/2568 ลว. 12 ธันวาคม 2568 จำนวน 1 คน เป็นเงิน 6,000 บาท (กรมป่าไม้)","36,000.00","4","36,000.00","","","","","","","","","","","",""
"65","9-13/03/2569","หลักสูตร การประเมินการกักเก็บคาร์บอนด้วยเทคโนโลยีอวกาศและภูมิสารสนเทศ","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","49","22","690,000.00","793,800.00","ฝึกอบรมหลักสูตรประจำปี","น.ส.ฐานิต  นุกูลราษฎร์  (ปอ)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร, อว. จำนวนผู้เข้ารับการถ่ายทอดความรู้และเรียนรู้ผ่านการเข้าร่วมกิจกรรม/ ฝึกอบรม/ แหล่งเรียนรู้ ตลอดจนการเข้าถึงสื่อในรูปแบบ Lifelong Learning","","15,000.00","3","45,000.00","","","","","","","","","","","",""
"66","16-20/03/2569","หลักสูตร การสำรวจและทำแผนที่ด้วยอากาศยานไร้คนขับ","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","33","15","330,000.00","583,200.00","ฝึกอบรม หลักสูตรเฉพาะกลุ่ม","นายวีรวัฒน์ จันทวงษ์ (ต้น)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","","10,000.00","3","30,000.00","","","","","","","","","","","",""
"67","30/03/2569-3/04/2569","หลักสูตร การพัฒนาโปรแกรมด้านการวิเคราะห์ข้อมูลเชิงพื้นที่ทางอินเทอร์เน็ต ","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","45","42","306,000.00","729,000.00","ฝึกอบรมหลักสูตรประจำปี","นายณัฐพงษ์ แข่งขัน (นาม)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","","18,000.00","3","54,000.00","","","","","","","","","","","",""
"74","20-24/4/2569","หลักสูตร Geospatial ChatGPT","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","45","18","202,354.75","405,000.00","ฝึกอบรมหลักสูตรประจำปี","นายณัฐพงษ์ แข่งขัน (นาม)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","","226,800.00","14","151,645.25","","","","","","","","","","","",""
"85","21-22/5/2569","หลักสูตร เทคโนโลยีอวกาศและภูมิสารสนเทศ สำหรับการพัฒนาจังหวัด รุ่นที่ 5","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","780","780","24,057.00","12,636,000.00","ฝึกอบรมหลักสูตรประจำปี","นายณัฐพงษ์ แข่งขัน (นาม)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","จำนวนชำระเงิน 243 คน ณ วันที่ 15 มิ.ย. 2569","","","","","","","","","","","","","","",""
"91","8-12/06/2569","หลักสูตร ระบบสารสนเทศภูมิศาสตร์สำหรับผู้ใช้งานเบื้องต้น (GIZ)","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","25","2","250,000.00","405,000.00","ฝึกอบรม หลักสูตรเฉพาะกลุ่ม","น.ส.มยุรา ทุ่มแก้ว (ปูเป้)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","","","","","","","","","","","","","","","",""
"99","01/06/2569","รายได้นอก สำนักฯ ปรับงบจาก โครงการเพิ่มประสิทธิภาพการใช้น้ำภาคการเกษตร ด้วยเทคโนโลยีภูมิสารสนเทศ (69032) โอนมาเพื่อ แผนพัฒนาศักยภาพบุคลากรพร้อมใช้ด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ (69045)","ฝถร.","69045 แผนงานพัฒนาศักยภาพบุคลากรพร้อมใช้ด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ","","","500,000.00","0.00","สนับสนุน","นายอลงกต ปากาศ (เฟิร์ส)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร","","","","","","","","","","","","","","","",""
"100","23/06/2569-24/06/2569","โครงการฝึกอบรมเชิงปฏิิบัติการด้านบูรณาการเทคโนโลยีอวกาศและภูมิสารสนเทศเพื่อการเรียนการสอน ครั้งที่ 1","ฝถร.","69143 โครงการเสริมสร้างศักยภาพครูด้านบูรณาการเทคโนโลยีอวกาศและภูมิสารสนเทศเพื่อการเรียนการสอน","57","","","923,400.00","ทุนสนับสนุน","นายอลงกต ปากาศ (เฟิร์ส)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร, ย 1.2.1 จำนวนผู้สำเร็จการศึกษาและการฝึกอบรมในหลักสูตรสาขาเทคโนโลยีอวกาศและภูมิสารสนเทศเพิ่มขึ้น 400 คนต่อปี เพื่อตอบสนองความต้องการบุคลากรด้านอวกาศของประเทศ","ทุนสนับสนุนจากกองทุนเทคโนโลยีเพื่อการศึกษา กระทรวงศึกษาธิการ","","","","","","","","","","","","","","",""
"108","29/06/2569-03/07/2569","หลักสูตร การสำรวจระยะไกลด้วยดาวเทียมสำรวจโลก","ฝถร.","69050 แผนงานขับเคลื่อนการสร้างคุณค่าและรายได้","45","","384,000.00","729,000.00","ฝึกอบรมหลักสูตรประจำปี","นายวีรวัฒน์ จันทวงษ์ (ต้น)","อว. จำนวนผู้เข้ารับการถ่ายทอดความรู้และเรียนรู้ผ่านการเข้าร่วมกิจกรรม/ ฝึกอบรม/ แหล่งเรียนรู้ ตลอดจนการเข้าถึงสื่อในรูปแบบ Lifelong Learning","สิทธิ์สมนาคุณ สสพ. (ในชั้นเรียน 2 คน, ออนไลน์ 1 คน)","26,000.00","3","26,000.00","","","","","","","","","","","",""
"109","08/07/2569-09/07/2569","โครงการฝึกอบรมเชิงปฏิิบัติการด้านบูรณาการเทคโนโลยีอวกาศและภูมิสารสนเทศเพื่อการเรียนการสอน ครั้งที่ 2","ฝถร.","69143 โครงการเสริมสร้างศักยภาพครูด้านบูรณาการเทคโนโลยีอวกาศและภูมิสารสนเทศเพื่อการเรียนการสอน","47","","","761,400.00","ทุนสนับสนุน","นายอลงกต ปากาศ (เฟิร์ส)","สงป จำนวนหลักสูตรด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ 10 หลักสูตร, ย 1.2.1 จำนวนผู้สำเร็จการศึกษาและการฝึกอบรมในหลักสูตรสาขาเทคโนโลยีอวกาศและภูมิสารสนเทศเพิ่มขึ้น 400 คนต่อปี เพื่อตอบสนองความต้องการบุคลากรด้านอวกาศของประเทศ","ทุนสนับสนุนจากกองทุนเทคโนโลยีเพื่อการศึกษา กระทรวงศึกษาธิการ","","","","","","","","","","","","","","",""
"114","13/07/2569-14/07/2569","หลักสูตร GeoAI & GI Vibe Coding ภูมิสารสนเทศปัญญาประดิษฐ์ และการเขียนโค้ดตามเจตนารมณ์ ด้วยปัญญาประดิษฐ์ด้านภูมิสารสนเทศ","ฝถร.","69045 แผนงานพัฒนาศักยภาพบุคลากรพร้อมใช้ด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ","","","","","","","","","","","","","","","","","","","","","","",""
"115","20/07/2569-22/07/2569","หลักสูตร GeoAI & GI Vibe Coding ภูมิสารสนเทศปัญญาประดิษฐ์ และการเขียนโค้ดตามเจตนารมณ์ ด้วยปัญญาประดิษฐ์ด้านภูมิสารสนเทศ","ฝถร.","69045 แผนงานพัฒนาศักยภาพบุคลากรพร้อมใช้ด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ","67","4","0.00","1,085,400.00","ฝึกอบรม หลักสูตรเฉพาะกลุ่ม","น.ส.ฐานิต  นุกูลราษฎร์  (ปอ)","อว. จำนวนผู้เข้ารับการถ่ายทอดความรู้และเรียนรู้ผ่านการเข้าร่วมกิจกรรม/ ฝึกอบรม/ แหล่งเรียนรู้ ตลอดจนการเข้าถึงสื่อในรูปแบบ Lifelong Learning","","0","0","0","","","","","","","","","","","",""
"116","10/07/2569","หลักสูตร THEOS-2 for All: เทคโนโลยีอวกาศและภูมิสารสนเทศเพื่อการบริหารจัดการท้องถิ่น ครั้งที่ 1","ฝถร.","69045 แผนงานพัฒนาศักยภาพบุคลากรพร้อมใช้ด้านเทคโนโลยีอวกาศและภูมิสารสนเทศ","202","100","0.00","3,272,400.00","ฝึกอบรม หลักสูตรเฉพาะกลุ่ม","น.ส.เพชรจรัส  เตชเกรียงไกรกุล (หยก)","อว. จำนวนผู้เข้ารับการถ่ายทอดความรู้และเรียนรู้ผ่านการเข้าร่วมกิจกรรม/ ฝึกอบรม/ แหล่งเรียนรู้ ตลอดจนการเข้าถึงสื่อในรูปแบบ Lifelong Learning","","0","0","0","","","","","","","","","","","",""
